source,outcode,sold_date,address,postcode,price,bedrooms,tenure,sale_class,lat,lng,ingest_ts
propertydata/sold-prices,SP7,2024-09-13,"Church View, Church Close, Fontmell Magna, SP7 0NX",SP7 0NX,449000,,freehold,old_stock,50.9527764,-2.1932524,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-13,"Chapel House, The Green, East Knoyle, SP3 6BN",SP3 6BN,472000,,freehold,old_stock,51.0800273,-2.186045,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-13,"Waterdale, East Knoyle, SP3 6BL",SP3 6BL,1437000,,freehold,old_stock,51.0793775,-2.1815721,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-12,"15, Sylvan Way, SP8 4EQ",SP8 4EQ,215000,,freehold,old_stock,51.0437731,-2.2736547,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-12,"14, Chaffinch Chase, SP8 4GT",SP8 4GT,255000,3,freehold,old_stock,51.0306051,-2.2627761,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-12,"67, Linden Park, SP7 8RN",SP7 8RN,650000,,freehold,old_stock,51.003055,-2.1826555,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-12,"Cradle House, Luke Street, Berwick St John, SP7 0HQ",SP7 0HQ,1140000,,freehold,old_stock,50.9994359,-2.0807156,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-11,"20, Trinity Road, Shrewton, SP3 4DG",SP3 4DG,275000,3,freehold,old_stock,51.1972289,-1.8996036,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-11,"16, St Johns Close, Tisbury, SP3 6PN",SP3 6PN,324000,3,freehold,old_stock,51.0610902,-2.0846247,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-10,"11, Butts Knapp, SP7 8NW",SP7 8NW,275000,,freehold,old_stock,51.0026678,-2.1879554,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-10,"Church Farm Cottages, 1, Factory Lane, Barford St Martin, SP3 4AL",SP3 4AL,434000,,freehold,old_stock,51.0814931,-1.9209281,2026-02-16T14:24:08.993Z
